region_name,category_name_en,year,total_revenue,num_orders,grp_region,grp_category,grp_year
Northeast,music,2018,169.64000000000001,1,0,0,0
Northeast,musical_instruments,2017,13757.630000000001,32,0,0,0
Northeast,musical_instruments,2018,17954.13,43,0,0,0
Northeast,office_furniture,2016,264.08,1,0,0,0
Northeast,office_furniture,2017,17933.799999999996,74,0,0,0
Northeast,office_furniture,2018,25010.68,67,0,0,0
Northeast,party_supplies,2018,292.88,1,0,0,0
Northeast,perfumery,2016,636.66,3,0,0,0
Northeast,perfumery,2017,29448.010000000002,174,0,0,0
Northeast,perfumery,2018,17348.859999999997,106,0,0,0
Northeast,pet_shop,2017,13078.200000000003,67,0,0,0
Northeast,pet_shop,2018,8696.88,61,0,0,0
Northeast,signaling_and_security,2017,273.37,3,0,0,0
Northeast,signaling_and_security,2018,3914.45,7,0,0,0
Northeast,small_appliances,2017,7437.849999999999,21,0,0,0
Northeast,small_appliances,2018,7917.53,20,0,0,0
Northeast,small_appliances_home_oven_and_coffee,2017,673.47,1,0,0,0
Northeast,small_appliances_home_oven_and_coffee,2018,1717.69,3,0,0,0
Northeast,sports_leisure,2016,1060.23,3,0,0,0
Northeast,sports_leisure,2017,59378.57999999999,367,0,0,0
Northeast,sports_leisure,2018,63220.289999999964,315,0,0,0
Northeast,stationery,2017,13738.910000000003,93,0,0,0
Northeast,stationery,2018,17161.840000000007,123,0,0,0
Northeast,tablets_printing_image,2017,1333.72,11,0,0,0
Northeast,tablets_printing_image,2018,141.44,1,0,0,0
Northeast,telephony,2016,40.79,1,0,0,0
Northeast,telephony,2017,38056.64999999997,314,0,0,0
Northeast,telephony,2018,39905.91999999994,322,0,0,0
Northeast,toys,2016,74.74,1,0,0,0
Northeast,toys,2017,35384.55999999997,231,0,0,0
Northeast,toys,2018,21791.210000000014,114,0,0,0
Northeast,watches_gifts,2016,674.3299999999999,1,0,0,0
Northeast,watches_gifts,2017,66406.41000000002,259,0,0,0
Northeast,watches_gifts,2018,117810.49000000003,475,0,0,0
Northeast,,2017,156.18,1,0,0,0
Northeast,,2018,44.82,1,0,0,0
South,agro_industry_and_commerce,2017,3368.8100000000004,6,0,0,0
South,agro_industry_and_commerce,2018,6423.160000000002,18,0,0,0
South,air_conditioning,2016,1078.22,2,0,0,0
South,air_conditioning,2017,1337.98,8,0,0,0
South,air_conditioning,2018,4051.5599999999995,13,0,0,0
South,art,2017,423.12,5,0,0,0
South,art,2018,1796.0800000000004,19,0,0,0
South,arts_and_craftmanship,2018,314.32,1,0,0,0
South,audio,2017,3308.850000000001,25,0,0,0
South,audio,2018,4140.08,18,0,0,0
South,auto,2016,459.14,1,0,0,0
South,auto,2017,37361.18999999999,202,0,0,0
South,auto,2018,58923.89,345,0,0,0
South,baby,2016,108.84,1,0,0,0
South,baby,2017,29635.730000000003,201,0,0,0
South,baby,2018,51207.54,248,0,0,0
South,bed_bath_table,2016,302.11,2,0,0,0
South,bed_bath_table,2017,79133.05999999992,607,0,0,0
South,bed_bath_table,2018,86106.0599999999,605,0,0,0
South,books_general_interest,2017,4694.65,39,0,0,0
South,books_general_interest,2018,4227.6900000000005,42,0,0,0
South,books_imported,2017,184.57999999999998,2,0,0,0
South,books_imported,2018,183.09,3,0,0,0
South,books_technical,2017,1661.74,8,0,0,0
South,books_technical,2018,2680.26,28,0,0,0
South,cds_dvds_musicals,2017,305.55,3,0,0,0
South,christmas_supplies,2017,623.15,9,0,0,0
South,christmas_supplies,2018,1479.9300000000003,13,0,0,0
South,cine_photo,2017,78.71000000000001,1,0,0,0
South,cine_photo,2018,2511.11,14,0,0,0
South,computers,2017,20305.64,14,0,0,0
South,computers,2018,2026.33,3,0,0,0
South,computers_accessories,2016,292.11,3,0,0,0
South,computers_accessories,2017,71636.17999999989,421,0,0,0
South,computers_accessories,2018,85276.10999999999,570,0,0,0
South,consoles_games,2016,982.41,1,0,0,0
South,consoles_games,2017,11191.140000000001,77,0,0,0
South,consoles_games,2018,10008.919999999991,54,0,0,0
South,construction_tools_construction,2017,3440.77,17,0,0,0
South,construction_tools_construction,2018,19301.670000000002,85,0,0,0
South,construction_tools_lights,2018,7201.910000000003,41,0,0,0
South,construction_tools_safety,2017,2061.65,8,0,0,0
South,construction_tools_safety,2018,4937.709999999999,24,0,0,0
South,cool_stuff,2016,455.01,1,0,0,0
South,cool_stuff,2017,77344.52000000006,379,0,0,0
South,cool_stuff,2018,48741.59999999995,226,0,0,0
South,costruction_tools_garden,2017,799.1899999999999,3,0,0,0
South,costruction_tools_garden,2018,1443.1200000000001,13,0,0,0
South,costruction_tools_tools,2017,553.8900000000001,4,0,0,0
South,costruction_tools_tools,2018,1798.45,16,0,0,0
South,diapers_and_hygiene,2018,135.93,2,0,0,0
South,drinks,2017,544.7,8,0,0,0
South,drinks,2018,3793.1399999999994,30,0,0,0
South,dvds_blu_ray,2017,318.12999999999994,5,0,0,0
South,dvds_blu_ray,2018,297.43,4,0,0,0
South,electronics,2017,11755.380000000003,155,0,0,0
South,electronics,2018,23787.940000000002,284,0,0,0
South,fashio_female_clothing,2017,154.2,3,0,0,0
South,fashion_bags_accessories,2016,314.48999999999995,4,0,0,0
South,fashion_bags_accessories,2017,16639.699999999997,152,0,0,0
South,fashion_bags_accessories,2018,10107.900000000001,103,0,0,0
South,fashion_childrens_clothes,2017,66.69,1,0,0,0
South,fashion_childrens_clothes,2018,46.42,1,0,0,0
South,fashion_male_clothing,2017,1803.7600000000002,15,0,0,0
South,fashion_male_clothing,2018,351.27,4,0,0,0
South,fashion_shoes,2017,2181.2300000000005,25,0,0,0
South,fashion_shoes,2018,926.9900000000001,6,0,0,0
South,fashion_sport,2017,296.59000000000003,5,0,0,0
South,fashion_sport,2018,75.07,1,0,0,0
South,fashion_underwear_beach,2017,885.44,10,0,0,0
South,fashion_underwear_beach,2018,419.73,6,0,0,0
South,fixed_telephony,2016,214.98,1,0,0,0
South,fixed_telephony,2017,3749.710000000001,22,0,0,0
South,fixed_telephony,2018,1161.79,6,0,0,0
South,flowers,2017,38.91,1,0,0,0
South,flowers,2018,86.05,2,0,0,0
South,food,2017,1093.29,14,0,0,0
South,food,2018,3144.7900000000004,39,0,0,0
South,food_drink,2017,918.39,11,0,0,0
South,food_drink,2018,541.51,9,0,0,0
South,furniture_bedroom,2017,960.4100000000001,10,0,0,0
South,furniture_bedroom,2018,927.01,3,0,0,0
South,furniture_decor,2016,2469.36,12,0,0,0
South,furniture_decor,2017,72928.20999999986,512,0,0,0
South,furniture_decor,2018,93551.00000000009,591,0,0,0
South,furniture_living_room,2017,4284.65,22,0,0,0
South,furniture_living_room,2018,5774.909999999997,26,0,0,0
South,furniture_mattress_and_upholstery,2018,250.55,2,0,0,0
South,garden_tools,2016,156.22,1,0,0,0
South,garden_tools,2017,55647.43999999997,326,0,0,0
South,garden_tools,2018,41359.07999999998,224,0,0,0
South,health_beauty,2016,999.85,11,0,0,0
South,health_beauty,2017,72681.77999999994,453,0,0,0
South,health_beauty,2018,95292.06999999992,597,0,0,0
South,home_appliances,2017,5948.6500000000015,37,0,0,0
South,home_appliances,2018,11607.79,72,0,0,0
South,home_appliances_2,2017,5905.3099999999995,14,0,0,0
South,home_appliances_2,2018,22374.779999999995,29,0,0,0
South,home_comfort_2,2017,157.35,2,0,0,0
South,home_confort,2017,4789.369999999998,28,0,0,0
South,home_confort,2018,2405.0800000000004,16,0,0,0
South,home_construction,2017,6725.2599999999975,22,0,0,0
South,home_construction,2018,9694.899999999998,58,0,0,0
South,housewares,2017,42934.26999999999,362,0,0,0
South,housewares,2018,77878.62000000023,495,0,0,0
South,industry_commerce_and_business,2016,226.34,2,0,0,0
South,industry_commerce_and_business,2017,2183.83,10,0,0,0
South,industry_commerce_and_business,2018,4957.390000000002,30,0,0,0
South,kitchen_dining_laundry_garden_furniture,2017,3071.8199999999997,12,0,0,0
South,kitchen_dining_laundry_garden_furniture,2018,4407.56,18,0,0,0
South,la_cuisine,2017,636.24,4,0,0,0
South,la_cuisine,2018,426.7,1,0,0,0
South,luggage_accessories,2017,12848.51,81,0,0,0
South,luggage_accessories,2018,10796.089999999997,59,0,0,0
South,market_place,2016,112.52,1,0,0,0
South,market_place,2017,3361.93,28,0,0,0
