region_name,state_abbr,city_name,total_revenue,num_orders
Northeast,BA,livramento de nossa senhora,777.5699999999999,5
South,PR,terra boa,773.42,4
Northeast,MA,matoes do norte,772.28,2
Northeast,MA,esperantinópolis,771.41,3
Northeast,PE,belem de sao francisco,771.02,2
South,PR,terra rica,769.6299999999999,7
Northeast,CE,barro,769.02,4
South,RS,cidreira,769.02,5
Northeast,BA,urandi,767.8100000000001,2
Southeast,SP,guaraçaí,767.1100000000001,5
South,RS,santo cristo,766.18,7
Central-West,MT,jauru,762.8599999999999,5
Southeast,SP,colina,762.25,9
Northeast,CE,guaiuba,762.05,2
North,PA,garrafao do norte,762.0,3
Northeast,RN,itaú,761.37,2
South,SC,palmitos,760.98,5
Southeast,SP,nova europa,760.8899999999999,8
Southeast,SP,paranapanema,759.71,11
Northeast,RN,macaiba,757.17,5
Northeast,CE,marco,756.76,3
South,RS,nova hartz,755.22,3
Central-West,GO,jaragua,755.07,7
Northeast,MA,cururupu,754.6700000000001,3
Central-West,GO,bela vista de goias,753.3499999999999,7
South,RS,pedro osório,752.98,3
Northeast,PE,custódia,752.1700000000001,5
Southeast,MG,perdoes,752.01,9
South,PR,ubirata,751.43,7
Southeast,SP,lindoia,751.3400000000001,9
Northeast,RN,açu,749.59,3
Southeast,MG,conceição do pará,749.55,3
North,RO,rolim de moura,748.15,7
Southeast,MG,mateus leme,746.5999999999999,9
Southeast,RJ,comendador levy gasparian,746.56,7
South,SC,sao ludgero,746.51,3
North,PA,capanema,746.26,4
Central-West,MS,mundo novo,745.76,3
Southeast,SP,nhandeara,745.3199999999999,8
South,RS,barra do ribeiro,742.89,5
South,PR,manoel ribas,742.3199999999999,4
South,RS,morro reuter,741.4000000000001,3
South,PR,pirai do sul,740.98,6
Northeast,SE,propria,740.75,4
Southeast,SP,taquarivai,738.9000000000001,3
Northeast,CE,guaraciaba do norte,738.15,4
Northeast,BA,morro do chapéu,737.8399999999999,7
Southeast,SP,sao francisco da praia,737.7900000000001,7
